Wales Office spend over £500,,Jul-10,,,,,

ENTITY,EXPENSE_AREA,PAYMENT_DATE,PAYMENT_NUMBER,SUPPLIER_NAME,INVOICE_AMOUNT,NAC_DESCRIPTION,Service provided
Wales Office,Wales Office,1/7/2010,1000743,EDUSERV TECHNOLOGIES LTD,679.15,IT Services incl Web Hosting,Web hosting for Wales Office websites
Wales Office,Wales Office,7/7/2010,1000757,CALDER CONFERENCES LTD,675.12,Staff Subsistence Hotel,MOJ contract for hotel bookings
Wales Office,Wales Office,7/7/2010,1000760,JONES YARRELL & CO LTD,880.06,Publications- incl. Online,Newspapers for London office
Wales Office,Wales Office,7/7/2010,1000759,GOVERNMENT CAR & DESPATCH AGENCY,944.7,IDS,Government internal mail service
Wales Office,Wales Office,7/7/2010,1000758,CARLISLE SECURITY SERVICES LTD,10025.1,Security,24 hour Security for London office
Wales Office,Wales Office,12/7/2010,1000765,DOD'S PARLIAMENTARY COMMUNICATIONS LTD,1200,Publications- incl. Online,Parliamentary books
Wales Office,Wales Office,7/13/2010,1000775,NATIONAL SCHOOL OF GOVERNMENT,1315,Training Course,Staff training courses
Wales Office,Wales Office,7/14/2010,1000778,BRITISH GAS BUSINESS,1149.42,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,7/19/2010,1000786,ESSEX FLAGS AND FLAGSTAFFS LTD,1632.08,Other Service Contracts - Accommodation,Contract charges for new flags and repair to flagpole
Wales Office,Wales Office,7/19/2010,1000788,LANCASTER OFFICE CLEANING CO LTD,2450.5,Cleaning (excl Waste Collctn),Cleaning services for London office
Wales Office,Wales Office,7/19/2010,1000789,STRATAMATRIX LTD,705,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,7/19/2010,1000789,STRATAMATRIX LTD,998.75,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,7/20/2010,1000792,GOVERNMENT CAR & DESPATCH AGENCY,13656.02,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,7/22/2010,1000800,GOVERNMENT CAR & DESPATCH AGENCY,587.79,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,7/22/2010,1000800,GOVERNMENT CAR & DESPATCH AGENCY,878.14,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,7/22/2010,1000800,GOVERNMENT CAR & DESPATCH AGENCY,616.35,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,7/22/2010,1000797,BUYING SOLUTIONS,1853.84,Utility - Gas,Centralised government heating charges for London office
Wales Office,Wales Office,7/26/2010,1000808,GOVERNMENT CAR & DESPATCH AGENCY,985.73,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,7/26/2010,1000808,GOVERNMENT CAR & DESPATCH AGENCY,944.7,IDS,Government internal mail service
Wales Office,Wales Office,7/29/2010,1000817,BUYING SOLUTIONS,12282.55,Telecomms - Charges/Rental-non mobile,Central government contract for phone charges for land lines
