Wales Office spend over £500,,May-10,,,,,

ENTITY,EXPENSE_AREA,PAYMENT_DATE,PAYMENT_NUMBER,SUPPLIER_NAME,INVOICE_AMOUNT,NAC_DESCRIPTION,Service provided
Wales Office,Wales Office,4/5/2010,1000575,NATWEST ,1339.75,T&S (Claim Forms Only),Wales Office corporate credit card charges 
Wales Office,Wales Office,6/5/2010,10026,ART WORKS,799,Porterage Costs,Transport of art works to London office
Wales Office,Wales Office,11/5/2010,1000591,GOVERNMENT CAR & DESPATCH AGENCY,689.47,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,11/5/2010,1000591,GOVERNMENT CAR & DESPATCH AGENCY,614.82,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,11/5/2010,1000589,CITY OF WESTMINSTER,539.21,"Wast Coll'n/Disposal, Confid'ial",Waste collection at London office
Wales Office,Wales Office,11/5/2010,1000590,CIVIC MAINTENANCE SERVICES LTD,852.44,Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
Wales Office,Wales Office,5/13/2010,1000609,EDUSERV TECHNOLOGIES LTD,679.15,IT Services incl Web Hosting,Web hosting for Wales Office websites
Wales Office,Wales Office,5/13/2010,1000610,GOVERNMENT CAR & DESPATCH AGENCY,944.7,IDS,Government internal mail service
Wales Office,Wales Office,5/18/2010,1000623,JONES YARRELL & CO LTD,778.68,Publications- incl. Online,Newspapers for London office
Wales Office,Wales Office,5/18/2010,1000622,CYMEN CYFYNGEDIG,1551,Translation Services,Translation Services
Wales Office,Wales Office,5/18/2010,1000621,CARLISLE SECURITY SERVICES LTD,10025.1,Security,24 hour Security for London office
Wales Office,Wales Office,5/20/2010,1000636,MR M M PATEL - M & M NEWSAGENTS,598,Publications- incl. Online,Newspapers for Cardiff office
Wales Office,Wales Office,5/20/2010,1000636,MR M M PATEL - M & M NEWSAGENTS,586,Publications- incl. Online,Newspapers for Cardiff office
Wales Office,Wales Office,5/20/2010,1000635,KNIGHT FRANK LLP,1374.06,Managing Agents Fees,Rent and service charges for Cardiff office
Wales Office,Wales Office,5/25/2010,1000642,GOVERNMENT CAR & DESPATCH AGENCY,985.73,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,5/25/2010,1000641,CENTRAL OFFICE OF INFORMATION (COI),17625,Publications- incl. Online,Media monitoring
Wales Office,Wales Office,5/25/2010,1000644,LANCASTER OFFICE CLEANING CO LTD,2450.5,Cleaning (excl Waste Collctn),Cleaning services for London office
Wales Office,Wales Office,5/25/2010,1000644,LANCASTER OFFICE CLEANING CO LTD,2450.5,Cleaning (excl Waste Collctn),Cleaning services for London office
Wales Office,Wales Office,5/25/2010,1000640,BRITISH GAS BUSINESS,737.3,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,5/25/2010,1000640,BRITISH GAS BUSINESS,1099.25,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,5/25/2010,1000640,BRITISH GAS BUSINESS,601.92,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,5/27/2010,1000650,CALDER CONFERENCES LTD,607.99,Staff Subsistence Hotel,MOJ contract for hotel bookings
Wales Office,Wales Office,5/27/2010,1000649,BUYING SOLUTIONS,12344.97,Telecomms - Charges/Rental-non mobile,Central government contract for phone charges for land lines
