Wales Office spend over £500,,,Nov-10,,,,,

ENTITY,DATE,BE_LEVEL_7,EXPENSE_AREA_1,EXPENSE_TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT,SERVICE PROVIDED
Wales Office,1/11/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001049,1198.5,Ministerial car hire charges
Wales Office,1/11/2010,WA105,Wales Office,222152-Cleaning (excl Waste Collctn),CIVIC MAINTENANCE SERVICES LTD,1001048,852.44,Cleaning services for Cardiff office
Wales Office,4/11/2010,WA105,Wales Office,223536-IT Services incl Web Hosting,EDUSERV TECHNOLOGIES LTD,1001056,679.15,Web hosting for Wales Office websites
Wales Office,5/11/2010,WA105,Wales Office,223541-Telecomms - Charges/Rental-non mobile,BUYING SOLUTIONS,1001059,12150.95,Central government contract for phone charges for land lines
Wales Office,8/11/2010,WA105,Wales Office,222151-Security,CARLISLE SECURITY SERVICES LTD,1001065,10359.27,24 hour Security for London office
Wales Office,8/11/2010,WA105,Wales Office,223520-Publications- incl. Online,JONES YARRELL & CO LTD,1001068,573.1,Newspapers for London office
Wales Office,11/11/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001080,6903.38,Ministerial car hire charges
Wales Office,11/11/2010,WA105,Wales Office,223520-Publications- incl. Online,LEXIS NEXIS BUTTERWORTHS,1001081,648,Annual cost of parliamentary publication
Wales Office,11/11/2010,WA105,Wales Office,223520-Publications- incl. Online,THE STATIONERY OFFICE LTD,1001084,6370.85,Annual cost of parliamentary questions feed from Parliament
Wales Office,11/11/2010,WA105,Wales Office,223513-Design/Print/Reprographic Services,STRATAMATRIX LTD,1001083,998.75,Media monitoring
Wales Office,11/11/2010,WA105,Wales Office,223513-Design/Print/Reprographic Services,STRATAMATRIX LTD,1001083,705,Media monitoring
Wales Office,11/15/2010,WA105,Wales Office,223536-IT Services incl Web Hosting,MORSE,1001086,10370.94,"Electronic notification of Parliamentary Questions, annual cost plus cancellation charges"
Wales Office,11/18/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001093,898.88,Ministerial car hire charges
Wales Office,11/18/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001093,944.7,Ministerial car hire charges
Wales Office,11/19/2010,WA105,Wales Office,222152-Cleaning (excl Waste Collctn),CIVIC MAINTENANCE SERVICES LTD,1001097,852.44,Cleaning services for Cardiff office
Wales Office,11/19/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001098,985.73,Ministerial car hire charges
Wales Office,11/25/2010,WA105,Wales Office,222143-Utility - Gas,BUYING SOLUTIONS,1001111,1853.84,Centralised government heating charges for London office
Wales Office,11/25/2010,WA105,Wales Office,222142-Utility - Electricity,BRITISH GAS BUSINESS,1001110,645.17,Electricity supplied to London office
Wales Office,11/29/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001119,581.63,Ministerial car hire charges
Wales Office,11/29/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001119,1039.88,Ministerial car hire charges
Wales Office,11/29/2010,WA100,Wales Office,221410-Official Cars - Hire Charges,GOVERNMENT CAR & DESPATCH AGENCY,1001119,537.8,Ministerial car hire charges
